2020-08-30 19:46:00,947 | root | INFO | New Controller object was initialized
2020-08-30 19:46:00,962 | root | INFO | Login attempt with accountId 2859459814 completed
2020-08-30 19:46:00,963 | root | DEBUG | Value:1, controller at the start of deposit:Controller:{Atm:{availableCash:10000},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:10.24,overdrawn:False,getTransactionHistory:[]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:2859459814, authorizationTime:2020-08-30 19:46:00.962917}}
2020-08-30 19:46:00,963 | root | DEBUG | new balance=11.24 value=1, atm=Atm:{availableCash:10001}, session=Session:{currentAccountId:2859459814, authorizationTime:2020-08-30 19:46:00.963480}
2020-08-30 19:46:00,964 | root | DEBUG | Controller at the start of balance:Controller:{Atm:{availableCash:10001},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:11.24,overdrawn:False,getTransactionHistory:[2020-08-30 19:46:00 1.00 11.24]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:2859459814, authorizationTime:2020-08-30 19:46:00.963480}}
2020-08-30 19:46:00,964 | root | INFO | AccountId 2859459814 successfully authorized to access their account balance
2020-08-30 19:46:00,964 | root | INFO | Balance check attempt with accountId 2859459814 completed
2020-08-30 19:46:00,964 | root | DEBUG | Controller at the successful balance check:Controller:{Atm:{availableCash:10001},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:11.24,overdrawn:False,getTransactionHistory:[2020-08-30 19:46:00 1.00 11.24]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:2859459814, authorizationTime:2020-08-30 19:46:00.964434}}
2020-08-30 19:46:01,006 | root | INFO | New Controller object was initialized
2020-08-30 19:46:01,041 | root | INFO | New Controller object was initialized
2020-08-30 19:46:01,041 | root | DEBUG | Controller at the start of deposit:Controller:{Atm:{availableCash:10000},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:10.24,overdrawn:False,getTransactionHistory:[]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:None, authorizationTime:None}}
2020-08-30 19:46:01,042 | root | INFO | Attempting to login with accountId:2859459814
2020-08-30 19:46:01,042 | root | INFO | Login attempt with accountId 2859459814 completed
2020-08-30 19:46:01,064 | root | INFO | New Controller object was initialized
2020-08-30 19:46:01,064 | root | DEBUG | Controller at the start of deposit:Controller:{Atm:{availableCash:10000},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:10.24,overdrawn:False,getTransactionHistory:[]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:None, authorizationTime:None}}
2020-08-30 19:46:01,065 | root | INFO | Attempting to login with accountId:2859459814
2020-08-30 19:46:01,065 | root | INFO | Login attempt with accountId 2859459814 completed
2020-08-30 19:46:01,067 | root | DEBUG | Value:20, controller at the start of deposit:Controller:{Atm:{availableCash:10000},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:10.24,overdrawn:False,getTransactionHistory:[]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:2859459814, authorizationTime:2020-08-30 19:46:01.065678}}
2020-08-30 19:46:01,068 | root | DEBUG | new balance=30.24 value=20, atm=Atm:{availableCash:10020}, session=Session:{currentAccountId:2859459814, authorizationTime:2020-08-30 19:46:01.068037}
2020-08-30 19:46:01,070 | root | DEBUG | Controller at the start of deposit:Controller:{Atm:{availableCash:10020},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:30.240000000000002,overdrawn:False,getTransactionHistory:[2020-08-30 19:46:01 20.00 30.24]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:2859459814, authorizationTime:2020-08-30 19:46:01.068037}}
2020-08-30 19:46:01,071 | root | DEBUG | Controller at the start of balance:Controller:{Atm:{availableCash:10020},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:30.240000000000002,overdrawn:False,getTransactionHistory:[2020-08-30 19:46:01 20.00 30.24]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:None, authorizationTime:None}}
2020-08-30 19:46:01,072 | root | WARNING | Get balance failed because the current user is not authorized
2020-08-30 19:46:01,072 | root | DEBUG | Controller at the start of deposit:Controller:{Atm:{availableCash:10020},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:30.240000000000002,overdrawn:False,getTransactionHistory:[2020-08-30 19:46:01 20.00 30.24]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:None, authorizationTime:None}}
2020-08-30 19:46:01,072 | root | DEBUG | Value:100, controller at the start of deposit:Controller:{Atm:{availableCash:10020},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:30.240000000000002,overdrawn:False,getTransactionHistory:[2020-08-30 19:46:01 20.00 30.24]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:None, authorizationTime:None}}
2020-08-30 19:46:01,073 | root | WARNING | Deposit failed because the current user is not authorized
2020-08-30 19:46:01,073 | root | DEBUG | Value:100, controller at the start of deposit:Controller:{Atm:{availableCash:10020},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:30.240000000000002,overdrawn:False,getTransactionHistory:[2020-08-30 19:46:01 20.00 30.24]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:None, authorizationTime:None}}
2020-08-30 19:46:01,073 | root | WARNING | Withdrawal failed because the current user is not authorized
2020-08-30 19:46:01,084 | root | INFO | New Controller object was initialized
2020-08-30 19:46:01,084 | root | DEBUG | Controller at the start of deposit:Controller:{Atm:{availableCash:10000},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:10.24,overdrawn:False,getTransactionHistory:[]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:None, authorizationTime:None}}
2020-08-30 19:46:01,085 | root | INFO | Attempting to login with accountId:2859459814
2020-08-30 19:46:01,085 | root | INFO | Login attempt with accountId 2859459814 completed
2020-08-30 19:46:01,085 | root | DEBUG | Value:20, controller at the start of deposit:Controller:{Atm:{availableCash:10000},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:10.24,overdrawn:False,getTransactionHistory:[]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:2859459814, authorizationTime:2020-08-30 19:46:01.085245}}
2020-08-30 19:46:01,086 | root | DEBUG | new balance=30.24 value=20, atm=Atm:{availableCash:10020}, session=Session:{currentAccountId:2859459814, authorizationTime:2020-08-30 19:46:01.085810}
2020-08-30 19:48:01,085 | root | DEBUG | Controller at the start of balance:Controller:{Atm:{availableCash:10020},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:30.240000000000002,overdrawn:False,getTransactionHistory:[2020-08-30 19:46:01 20.00 30.24]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:2859459814, authorizationTime:2020-08-30 19:46:01.085810}}
2020-08-30 19:48:01,086 | root | WARNING | Get balance failed because the current user is not authorized
2020-08-30 19:48:01,086 | root | DEBUG | Controller at the start of deposit:Controller:{Atm:{availableCash:10020},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:30.240000000000002,overdrawn:False,getTransactionHistory:[2020-08-30 19:46:01 20.00 30.24]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:2859459814, authorizationTime:2020-08-30 19:46:01.085810}}
2020-08-30 19:48:01,086 | root | DEBUG | Value:100, controller at the start of deposit:Controller:{Atm:{availableCash:10020},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:30.240000000000002,overdrawn:False,getTransactionHistory:[2020-08-30 19:46:01 20.00 30.24]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:2859459814, authorizationTime:2020-08-30 19:46:01.085810}}
2020-08-30 19:48:01,086 | root | WARNING | Deposit failed because the current user is not authorized
2020-08-30 19:48:01,087 | root | DEBUG | Value:100, controller at the start of deposit:Controller:{Atm:{availableCash:10020},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:30.240000000000002,overdrawn:False,getTransactionHistory:[2020-08-30 19:46:01 20.00 30.24]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:2859459814, authorizationTime:2020-08-30 19:46:01.085810}}
2020-08-30 19:48:01,087 | root | WARNING | Withdrawal failed because the current user is not authorized
2020-08-30 19:48:01,097 | root | INFO | New Controller object was initialized
2020-08-30 19:48:01,097 | root | DEBUG | Controller at the start of deposit:Controller:{Atm:{availableCash:10000},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:10.24,overdrawn:False,getTransactionHistory:[]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:None, authorizationTime:None}}
2020-08-30 19:48:01,097 | root | INFO | Attempting to login with accountId:1434597300
2020-08-30 19:48:01,097 | root | INFO | Login attempt with accountId 1434597300 completed
2020-08-30 19:48:01,098 | root | DEBUG | Value:20, controller at the start of deposit:Controller:{Atm:{availableCash:10000},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:10.24,overdrawn:False,getTransactionHistory:[]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:1434597300, authorizationTime:2020-08-30 19:48:01.097963}}
2020-08-30 19:59:47,194 | root | INFO | The following new controller object was initialized:Controller:{Atm:{availableCash:10000},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:10.24,overdrawn:False,getTransactionHistory:[]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:None, authorizationTime:None}}
2020-08-30 19:59:47,195 | root | DEBUG | Controller at the start of login:Controller:{Atm:{availableCash:10000},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:10.24,overdrawn:False,getTransactionHistory:[]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:None, authorizationTime:None}}
2020-08-30 19:59:47,195 | root | DEBUG | Controller at the end of login:Controller:{Atm:{availableCash:10000},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:10.24,overdrawn:False,getTransactionHistory:[]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:2859459814, authorizationTime:2020-08-30 19:59:47.195830}}
2020-08-30 19:59:47,196 | root | DEBUG | Controller at the start of balance:Controller:{Atm:{availableCash:10000},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:10.24,overdrawn:False,getTransactionHistory:[]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:2859459814, authorizationTime:2020-08-30 19:59:47.195830}}
2020-08-30 19:59:47,196 | root | INFO | AccountId 2859459814 successfully authorized to access their account balance
2020-08-30 19:59:47,196 | root | DEBUG | Controller at the end of successful balance check:Controller:{Atm:{availableCash:10000},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:10.24,overdrawn:False,getTransactionHistory:[]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:2859459814, authorizationTime:2020-08-30 19:59:47.196306}}
2020-08-30 19:59:47,204 | root | INFO | The following new controller object was initialized:Controller:{Atm:{availableCash:10000},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:10.24,overdrawn:False,getTransactionHistory:[]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:None, authorizationTime:None}}
2020-08-30 19:59:47,204 | root | DEBUG | Controller at the start of login:Controller:{Atm:{availableCash:10000},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:10.24,overdrawn:False,getTransactionHistory:[]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:None, authorizationTime:None}}
2020-08-30 19:59:47,204 | root | DEBUG | Controller at the end of login:Controller:{Atm:{availableCash:10000},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:10.24,overdrawn:False,getTransactionHistory:[]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:2859459814, authorizationTime:2020-08-30 19:59:47.204463}}
2020-08-30 19:59:47,204 | root | DEBUG | Value:1, controller at the start of deposit:Controller:{Atm:{availableCash:10000},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:10.24,overdrawn:False,getTransactionHistory:[]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:2859459814, authorizationTime:2020-08-30 19:59:47.204463}}
2020-08-30 19:59:47,204 | root | DEBUG | Controller at the end of deposit:Controller:{Atm:{availableCash:10001},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:11.24,overdrawn:False,getTransactionHistory:[2020-08-30 19:59:47 1.00 11.24]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:2859459814, authorizationTime:2020-08-30 19:59:47.204766}}
2020-08-30 19:59:47,205 | root | DEBUG | Controller at the start of balance:Controller:{Atm:{availableCash:10001},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:11.24,overdrawn:False,getTransactionHistory:[2020-08-30 19:59:47 1.00 11.24]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:2859459814, authorizationTime:2020-08-30 19:59:47.204766}}
2020-08-30 19:59:47,205 | root | INFO | AccountId 2859459814 successfully authorized to access their account balance
2020-08-30 19:59:47,205 | root | DEBUG | Controller at the end of successful balance check:Controller:{Atm:{availableCash:10001},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:11.24,overdrawn:False,getTransactionHistory:[2020-08-30 19:59:47 1.00 11.24]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:2859459814, authorizationTime:2020-08-30 19:59:47.205175}}
2020-08-30 19:59:47,212 | root | INFO | The following new controller object was initialized:Controller:{Atm:{availableCash:10000},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:10.24,overdrawn:False,getTransactionHistory:[]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:None, authorizationTime:None}}
2020-08-30 19:59:47,219 | root | INFO | The following new controller object was initialized:Controller:{Atm:{availableCash:10000},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:10.24,overdrawn:False,getTransactionHistory:[]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:None, authorizationTime:None}}
2020-08-30 19:59:47,219 | root | DEBUG | Controller at the start of login:Controller:{Atm:{availableCash:10000},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:10.24,overdrawn:False,getTransactionHistory:[]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:None, authorizationTime:None}}
2020-08-30 19:59:47,220 | root | DEBUG | Controller at the end of login:Controller:{Atm:{availableCash:10000},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:10.24,overdrawn:False,getTransactionHistory:[]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:2859459814, authorizationTime:2020-08-30 19:59:47.220036}}
2020-08-30 19:59:47,227 | root | INFO | The following new controller object was initialized:Controller:{Atm:{availableCash:10000},accounts:{'2859459814': Account:{accountId:2859459814,pin:****,balance:10.24,overdrawn:False,getTransactionHistory:[]}, '1434597300': Account:{accountId:1434597300,pin:****,balance:90000.55,overdrawn:False,getTransactionHistory:[]}, '7089382418': Account:{accountId:7089382418,pin:****,balance:0.0,overdrawn:False,getTransactionHistory:[]}, '2001377812': Account:{accountId:2001377812,pin:****,balance:60.0,overdrawn:False,getTransactionHistory:[]}},Session:{currentAccountId:None, authorizationTime:None}}
